Feature,Importance
numofproducts,0.22369406
isactivemember,0.1774108
age,0.13853015
geography_Germany,0.08172847
balance,0.04957266
gender,0.038221255
geography_Spain,0.030450316
creditscore,0.026009774
point_earned,0.025620868
age_group_51-60,0.025546003
estimatedsalary,0.023640078
satisfaction_score,0.022939797
tenure,0.02242787
hascrcard,0.021672085
card_type_GOLD,0.019315237
card_type_PLATINUM,0.019189427
age_group_41-50,0.019097673
card_type_SILVER,0.018360505
age_group_31-40,0.016572941
loyal_customer,0.0
age_group_60+,0.0
